,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
147,male,group C,associate's degree,free/reduced,none,73,68,66
88,female,group A,some college,standard,none,58,70,67
731,male,group A,some high school,free/reduced,none,55,46,43
741,female,group A,associate's degree,free/reduced,none,37,57,56
36,female,group D,associate's degree,standard,none,74,81,83
94,female,group B,some college,standard,none,79,86,92
454,female,group C,associate's degree,free/reduced,none,53,61,62
38,female,group D,associate's degree,free/reduced,completed,75,90,88
331,male,group C,associate's degree,standard,none,47,37,35
699,male,group C,high school,free/reduced,none,66,66,59
597,male,group A,some high school,standard,none,53,54,48
839,female,group C,associate's degree,standard,none,66,77,73
383,female,group E,some high school,free/reduced,none,38,49,45
647,female,group E,high school,free/reduced,none,64,62,68
985,male,group A,high school,standard,none,57,51,54
938,male,group D,some college,standard,completed,85,81,85
845,male,group E,master's degree,standard,none,90,85,84
525,male,group E,some college,standard,none,68,60,59
515,female,group C,some high school,standard,completed,76,87,85
386,female,group E,bachelor's degree,standard,none,64,73,70
996,male,group C,high school,free/reduced,none,62,55,55
977,male,group C,associate's degree,standard,none,62,65,58
767,male,group B,high school,standard,completed,76,62,60
71,male,group D,some college,standard,completed,63,55,63
494,female,group B,high school,standard,none,54,64,68
580,female,group D,some high school,standard,none,81,97,96
47,female,group C,high school,standard,none,66,71,76
29,female,group D,master's degree,standard,none,62,70,75
440,female,group C,some college,standard,completed,67,81,79
208,female,group B,some college,free/reduced,none,74,81,76
939,male,group D,some high school,standard,completed,77,68,69
538,male,group E,bachelor's degree,standard,completed,85,66,71
586,female,group A,high school,standard,none,55,73,73
57,male,group D,associate's degree,standard,none,52,55,49
388,female,group D,high school,standard,none,62,64,64
398,male,group B,some high school,standard,none,74,63,57
384,female,group A,some high school,free/reduced,none,38,43,43
961,female,group D,some high school,free/reduced,none,48,54,53
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
140,female,group D,some high school,standard,none,76,72,71
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
565,male,group B,associate's degree,standard,none,48,43,45
892,female,group A,master's degree,free/reduced,none,50,67,73
951,female,group D,some college,standard,completed,75,77,83
371,female,group C,some college,free/reduced,completed,45,73,70
696,female,group C,associate's degree,standard,completed,75,82,90
103,male,group B,high school,standard,completed,60,44,47
534,male,group B,high school,standard,completed,73,69,68
35,male,group E,associate's degree,standard,completed,81,81,79
752,male,group C,master's degree,free/reduced,completed,79,77,75
348,male,group D,high school,free/reduced,none,75,74,66
48,female,group D,associate's degree,free/reduced,completed,57,74,76
444,male,group A,some high school,free/reduced,none,79,82,73
949,female,group E,high school,free/reduced,completed,57,75,73
495,male,group D,high school,standard,completed,68,64,66
109,female,group B,some high school,standard,none,70,64,72
848,female,group C,high school,standard,none,59,72,68
433,female,group A,some high school,free/reduced,none,47,59,50
442,female,group A,some high school,free/reduced,none,59,73,69
148,female,group D,bachelor's degree,standard,completed,68,75,81
127,male,group D,some college,standard,completed,65,77,74
944,female,group B,high school,standard,none,58,68,61
509,female,group C,bachelor's degree,standard,none,86,92,87
290,male,group C,associate's degree,standard,none,76,70,68
937,female,group E,high school,free/reduced,none,57,58,57
445,female,group C,some high school,standard,completed,67,74,77
241,female,group E,bachelor's degree,standard,none,80,83,83
68,male,group B,associate's degree,free/reduced,none,61,58,56
854,male,group C,some high school,standard,none,62,64,55
673,female,group C,associate's degree,standard,completed,65,84,84
61,male,group A,some high school,free/reduced,none,39,39,34
542,female,group C,associate's degree,standard,none,81,77,79
285,male,group B,associate's degree,standard,completed,81,82,82
549,male,group C,master's degree,standard,none,79,72,69
719,male,group E,associate's degree,free/reduced,completed,91,73,80
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
805,male,group A,some college,free/reduced,none,75,81,74
943,male,group A,some high school,free/reduced,completed,61,62,61
19,female,group C,associate's degree,free/reduced,none,54,58,61
671,male,group D,associate's degree,free/reduced,none,52,57,50
159,male,group D,associate's degree,free/reduced,none,66,62,64
713,male,group D,master's degree,standard,none,81,81,84
286,male,group E,associate's degree,standard,completed,97,82,88
729,male,group C,some college,standard,none,53,39,37
205,male,group D,some high school,standard,completed,74,71,78
419,male,group E,high school,free/reduced,completed,57,56,54
9,female,group B,high school,free/reduced,none,38,60,50
305,male,group A,some college,standard,none,69,67,69
584,female,group D,some college,standard,none,69,77,77
956,male,group C,some college,standard,none,84,87,81
846,male,group C,master's degree,standard,completed,91,85,85
527,female,group C,high school,free/reduced,none,36,53,43
345,female,group C,high school,standard,none,72,80,75
550,male,group C,some high school,free/reduced,none,79,76,65
860,female,group C,associate's degree,standard,none,53,62,53
21,female,group B,some college,free/reduced,completed,65,75,70
470,female,group C,associate's degree,standard,completed,83,85,90
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
196,male,group C,some high school,free/reduced,completed,59,69,65
651,female,group A,high school,standard,completed,68,80,76
789,female,group C,master's degree,free/reduced,none,52,65,61
609,female,group B,associate's degree,standard,none,58,63,65
506,male,group A,high school,standard,none,68,70,66
847,male,group D,high school,standard,none,64,54,50
777,female,group C,some college,free/reduced,none,35,44,43
626,male,group B,associate's degree,free/reduced,completed,69,70,63
480,male,group B,high school,standard,completed,73,71,68
120,female,group C,bachelor's degree,standard,completed,79,92,89
90,female,group C,bachelor's degree,standard,none,65,72,74
828,female,group D,some high school,free/reduced,completed,69,86,81
601,female,group C,high school,standard,none,29,29,30
45,male,group B,associate's degree,standard,none,65,54,57
380,female,group B,associate's degree,standard,none,80,86,83
709,female,group D,associate's degree,free/reduced,completed,42,61,58
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
453,male,group C,some college,free/reduced,none,65,58,49
901,female,group C,master's degree,standard,none,73,78,74
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
827,female,group C,some high school,standard,none,65,69,76
786,female,group E,some high school,free/reduced,none,72,79,77
210,male,group D,some high school,free/reduced,completed,80,79,79
416,male,group C,bachelor's degree,standard,completed,71,74,68
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
401,male,group A,some college,standard,none,53,43,43
317,male,group C,associate's degree,standard,none,83,72,78
520,male,group D,some college,standard,none,71,49,52
532,male,group E,associate's degree,standard,completed,62,61,58
152,female,group B,associate's degree,standard,completed,59,70,66
0,female,group B,bachelor's degree,standard,none,72,72,74
682,male,group B,high school,standard,none,62,55,54
353,female,group C,associate's degree,standard,none,46,58,57
800,male,group C,some high school,standard,completed,67,73,68
102,female,group D,associate's degree,standard,none,85,91,89
784,male,group C,bachelor's degree,standard,completed,91,81,79
809,male,group B,bachelor's degree,standard,none,59,54,51
230,male,group D,some college,standard,none,76,64,66
966,male,group A,some high school,standard,completed,66,68,64
497,female,group D,some college,free/reduced,completed,59,78,76
