iter	Passed	Remaining
0	161	161578
1	162	81006
2	162	54149
3	163	40714
4	164	32660
5	164	27292
6	165	23472
7	166	20595
8	166	18355
9	167	16564
10	167	15104
11	168	13885
12	169	12855
13	170	11975
14	170	11209
15	171	10538
16	172	9945
17	172	9419
18	173	8946
19	173	8518
20	174	8134
21	175	7788
22	175	7467
23	176	7176
24	177	6907
25	177	6658
26	178	6427
27	179	6214
28	179	6016
29	180	5831
30	180	5657
31	181	5495
32	182	5338
33	182	5197
34	183	5064
35	184	4936
36	184	4813
37	185	4696
38	186	4587
39	186	4481
40	187	4381
41	188	4288
42	188	4195
43	189	4109
44	189	4029
45	190	3946
46	190	3871
47	191	3802
48	192	3733
49	193	3667
50	193	3604
51	194	3543
52	195	3484
53	195	3427
54	196	3373
55	196	3318
56	197	3269
57	198	3221
58	198	3173
59	199	3127
60	200	3083
61	200	3039
62	201	2995
63	202	2955
64	202	2916
65	203	2877
66	204	2842
67	204	2807
68	205	2772
69	206	2737
70	206	2705
71	207	2674
72	208	2643
73	208	2613
74	209	2582
75	210	2554
76	210	2525
77	211	2498
78	212	2473
79	212	2447
80	213	2421
81	213	2395
82	214	2371
83	215	2345
84	215	2323
85	216	2302
86	217	2280
87	217	2258
88	218	2237
89	219	2216
90	219	2196
91	220	2177
92	221	2158
93	221	2137
94	222	2117
95	222	2098
96	223	2081
97	224	2064
98	224	2046
99	225	2029
100	226	2012
101	226	1996
102	227	1980
103	227	1964
104	228	1948
105	229	1934
106	229	1918
107	230	1904
108	231	1890
109	231	1876
110	232	1862
111	233	1849
112	233	1835
113	234	1822
114	235	1810
115	235	1797
116	236	1785
117	237	1772
118	237	1759
119	238	1747
120	238	1736
121	239	1725
122	240	1713
123	241	1702
124	241	1691
125	242	1681
126	243	1670
127	243	1659
128	244	1649
129	244	1638
130	245	1628
131	246	1618
132	246	1608
133	247	1599
134	248	1589
135	248	1580
136	249	1571
137	250	1562
138	250	1552
139	251	1543
140	251	1534
141	252	1525
142	253	1516
143	253	1508
144	254	1500
145	255	1491
146	255	1483
147	256	1475
148	256	1467
149	257	1459
150	258	1451
151	258	1444
152	259	1436
153	260	1428
154	260	1421
155	261	1414
156	262	1407
157	262	1399
158	263	1392
159	263	1385
160	264	1378
161	265	1371
162	265	1364
163	266	1357
164	266	1350
165	267	1344
166	268	1337
167	268	1331
168	269	1325
169	270	1318
170	270	1312
171	271	1306
172	272	1300
173	272	1294
174	273	1288
175	273	1282
176	274	1276
177	275	1271
178	275	1265
179	276	1260
180	277	1254
181	277	1248
182	278	1243
183	279	1237
184	279	1232
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1205
190	283	1200
191	284	1195
192	284	1189
193	285	1184
194	285	1180
195	286	1175
196	287	1170
197	287	1166
198	288	1161
199	289	1156
200	289	1151
201	290	1146
202	290	1142
203	291	1137
204	292	1133
205	292	1128
206	293	1123
207	293	1119
208	294	1114
209	295	1110
210	295	1106
211	296	1102
212	297	1097
213	297	1093
214	298	1088
215	298	1085
216	299	1081
217	300	1076
218	300	1072
219	301	1069
220	302	1065
221	302	1061
222	303	1057
223	304	1053
224	304	1050
225	305	1046
226	306	1042
227	306	1038
228	307	1034
229	308	1031
230	308	1027
231	309	1024
232	310	1020
233	310	1017
234	311	1014
235	312	1010
236	312	1007
237	313	1003
238	314	1000
239	314	996
240	315	993
241	316	990
242	316	986
243	317	983
244	317	979
245	318	976
246	319	973
247	320	970
248	320	967
249	321	964
250	322	961
251	322	957
252	323	954
253	324	951
254	324	948
255	325	945
256	326	942
257	326	939
258	327	936
259	327	933
260	328	929
261	329	926
262	329	923
263	330	921
264	331	918
265	331	915
266	332	912
267	333	909
268	333	906
269	334	903
270	334	900
271	335	897
272	336	894
273	336	892
274	337	889
275	338	886
276	338	884
277	339	881
278	339	878
279	340	875
280	341	873
281	341	870
282	342	867
283	343	865
284	343	862
